,stationid
# Contrail combined coastal and river stations
0,30033
1,WNRN7
2,30003
3,30050
4,30009
5,GTNN7
6,30032
7,30011
8,30016
9,WSNN7
10,HSWN7
11,30010
12,30031
13,30060
14,30062
15,WHSN7
16,30061
17,30017
18,STYN7
19,STON7
20,RMBN7
21,TRTN7
22,30007
23,30054
24,30055
25,30039
26,30065
27,30029
28,30052
29,30012
30,EWPN7
31,35370047744601
32,30048
33,MINN7
34,EGHN7
35,30008
36,30030
37,HBKN7
38,JYCN7
39,WDVN7
40,30001
41,ORLN7
42,VNCN7
43,JCKN7
44,ALIN7
45,CTIN7
46,OCAN7
47,EMWN7
48,BLHN7
49,PNGN7
50,30059
51,ROFN7
52,COLN7
53,30042
54,30002
55,30064
56,30053
57,30058
58,GRMN7
59,30015
